Name,Address,Type,_Address,lat,lng,bbl
Highline Stages,"440 West 15th Street,New York, NY 10011,highlinestages.com",Not applicable," 440 West 15th Street , 10011",40.742066,-74.006872,1007120011
Home Studios,"873 Broadway #301,New York, NY 10003,homestudiosinc.com",Not applicable," 873 Broadway , 10003",40.738068,-73.99037,1008470016
hsc.tv,"36-11 20th Avenue,,Queens, NY 11105,hsc.tv",Not applicable," 36-11 20th Avenue , 11105",40.77796,-73.90333,4008260064
Industria Superstudio,"775 Washington Street,New York, NY 10014,industrianyc.com",Not applicable," 775 Washington Street , 10014",40.73776,-74.007849,1006410075
Izquierdo Studio,"118 West 22nd Street, 9th Floor,New York, NY 10011,izquierdostudio.com",Not applicable," 118 West 22nd Street , 10011",40.742468,-73.994406,1007970054
JMR Studio,"168 53rd Street,Suite 101,Brooklyn, NY 11232,jmrny.com/studio",Not applicable," 168 53rd Street , 11232",40.647475,-74.019534,3008120026
Kaufman AstoriaStudios,",34-12 36th Street,Astoria, NY 11106,kaufmanastoria.com",Level 2," 34-12 36th Street , 11106",40.75761,-73.923984,4006430001
The Kitchen NYC,"146 East 44th Street,New York, NY 10017,thekitchen.org",Not applicable," 146 East 44th Street , 10017",40.752245,-73.974524,1012980045
Lebron Media Studios,"3835 9th Avenue,(@ 205th Street),New York, NY 10034,lebronmedia.com",Not applicable," 3835 205th Street) , 10034",40.763039,-73.78031,4062010004
Lovescool,"74 S. 1st Street,Brooklyn, NY 11211",Not applicable," 74 S. 1st Street , 11211",40.71461,-73.964296,3024040014
Ludlow Studios,"40 Ludlow Street,,Ground floor,New York, NY 10002,ludlowstudios.com",Not applicable," 40 Ludlow Street , 10002",40.716138,-73.990113,1003100004
Magnet Media,"122 West 27th Street,New York, NY 10001",Not applicable," 122 West 27th Street , 10001",40.745748,-73.992299,1008020056
Manhattan Center Productions,"311 West 34th Street,New York, NY 10001,mcstudios.com",Level 1," 311 West 34th Street , 10001",40.75293,-73.994107,1007580028
MCM Stages,"253 West 28th Street,3rd & 4th Floor,New York, NY 10001,mcmstages.com",Not applicable," 253 West 28th Street , 10001",40.748406,-73.99548,1007780007
Metropolitan Pavilion &Gallery,"Metropolitan Pavilion &Gallery,125 West 18th Street,New York, NY 10011,metropolitanevents.com",Not applicable," 125 West 18th Street , 10011",40.74055,-73.995752,1007940025
Michelson Studio,"163 Bank Street,New York, NY 10014",Not applicable," 163 Bank Street , 10014",40.736495,-74.008654,1006390001
Motif Studios,"152 44th Street,Brooklyn, NY 11232",Level 1," 152 44th Street , 11232",40.652681,-74.014702,3007350065
Motion Capture NYC,"63 Rivington Street,Ground Floor Studio,New York, NY 10002,motioncapturenyc.com",Not applicable," 63 Rivington Street , 10002",40.720486,-73.990319,1004150020
Murray Hill Studios,"248 East 35th Street,New York, NY 10016,murrayhillstudios.com",Not applicable," 248 East 35th Street , 10016",40.745438,-73.975968,1009150037
NBC Studios,"30 Rockefeller Plaza,New York, NY 10112",Level 2," 30 Rockefeller Plaza , 10112",40.75914,-73.979596,1012657501
"NEP StudiosNEP Image Group, LLC,","232 Madison Avenue,,Suite 1002,New York, NY 10016,nepgroup.com",Level 2," 232 Madison Avenue , 10016",40.750007,-73.981996,1008670015
Next Millennium Productions,"31 Howard Street, Suite 5A,New York, NY 10013,nmpfilms.com",Not applicable," 31 Howard Street , 10013",40.719334,-74.000961,1002090034
The NoMad Loft,"22 West 27th Street,,6th Floor,New York, NY 10001,thenomadloft.com",Not applicable," 22 West 27th Street , 10001",40.744636,-73.98968,1008280061
NY Ice House Studios,"183-16 Jamaica Avenue,Hollis, NY 11423,nyicehousestudio.com",Level 1," 183-16 Jamaica Avenue , 11423",40.7087,-73.776372,4103520058
"Open Films Inc.,","10-15 44th Avenue,Long Island City, NY 11101,openfilms.net",Not applicable," 10-15 44th Avenue , 11101",40.750263,-73.949809,4004530001
Pelorus Studio,"333 Hudson Street,,Suite 401,New York, NY 10013,pelorusstudio.com",Not applicable," 333 Hudson Street , 10013",40.727133,-74.007694,1005970055
Pickerel Pie Studio,"10-26a 46th Avenue,Long Island City, NY 11101,pickerelpie.com/loft",Not applicable," 10-26a 46th Avenue , 11101",40.74646,-73.951735,4000480037
Pier 59 Studios,"59 Chelsea Piers,New York, NY 10011,pier59studios.com",Not applicable," 59 Chelsea Piers , 10011",40.7456,-74.00997,1006620011
Pioneer Stages,"159 Pioneer Street,Brooklyn, NY 11231",Level 1," 159 Pioneer Street , 11231",40.679216,-74.012127,3005450010
Production Central,"873 Broadway, Suite 205,New York, NY 10003,prodcentral.com",Not applicable," 873 Broadway , 10003",40.738068,-73.99037,1008470016
Q Studios LIC,"2138 44th Rd,Long Island City, NY 11101,qstudioslic.com",Not applicable," 2138 44th Rd , 11101",40.748328,-73.945585,4004380041
Reel Creative Studios,"146 West 29th Street, 3rd Floor,New York, NY 10001,reelcreativestudios.com",Not applicable," 146 West 29th Street , 10001",40.747282,-73.992155,1008040067
RiverBridge Studios,"4865 Arthur Kill Road,Staten Island, NY 10309,RiverBridgeStudios.com",Level 2," 4865 Arthur Kill Road , 10309",40.523484,-74.239727,5076260001
Ruby Bird Studio,"67 West Street, Suite 521,Brooklyn, NY 11221,rubybirdstudio.com",Not applicable," 67 West Street , 11221",40.708612,-74.014696,1000557501
Sanders Studios NYC,"525 Waverly Avenue,Brooklyn, NY 11238,sandersstudiosnyc.com",Level 1," 525 Waverly Avenue , 11238",40.682505,-73.965436,3020120010
See Food Media,"32 Clinton Street,,2nd Floor,New York, NY 10002,seefoodmedia.com",Not applicable," 32 Clinton Street , 10002",40.720274,-73.984245,1003507502
Seret Studios,"67 West Street,Brooklyn, NY 11222,seretstudios.com",Level 2," 67 West Street , 11222",40.728458,-73.959534,3025640001
Shangri-La Studio,"100 Sutton_Street,Brooklyn, NY 11222,shangrilastudio.com",Not applicable," 100 Sutton_Street , 11222",40.726569,-73.940563,3026590044
Shooting Kitchen,"13 Laight Street #12,New York, NY 10013,shootingkitchen.com",Not applicable," 13 Laight Street , 10013",40.721536,-74.006059,1002120018
Shop Studios,"528 West 39th Street,New York, NY 10018,shopstudios.com",Level 1," 528 West 39th Street , 10018",40.758113,-73.998739,1007100011
Silver Spoon Motion Capture,"630 Flushing Avenue,Brooklyn, NY 11206,silverspoonanimation.com",Not applicable," 630 Flushing Avenue , 11206",40.699762,-73.948172,3017200001
Silvercup Studios,"42-22 22nd Street,Long Island City, NY 11101",Level 2," 42-22 22nd Street , 11101",40.751308,-73.943658,4004270060
Silvercup Studios ,"East,34-02 Starr Ave,Long Island City, NY 11101",," East 34-02 Starr Ave , 11101",40.73618,-73.938425,4002970001
Silvercup North,"295 Locust Avenue,Bronx, NY 10454",," 295 Locust Avenue , 10454",40.80342,-73.90693,2025980046
SIR Stage37,"508 West 37th Street,New York, NY 10018,stage37events.com",Level 1," 508 West 37th Street , 10018",40.756579,-73.998567,1007080041
Smith Street Loft,"610 Smith Street,Brooklyn, NY 11231,smithstreetloft.tv",Not applicable," 610 Smith Street , 11231",40.670092,-74.000707,3004920020
SoundView Broadcasting,"36-01 37th Avenue,Long Island City, NY 11101,soundview,broadcasting.com",Not applicable,"36-01 37th Avenue, 11101",40.752867,-73.926677,4006360001
Space LES,"84 Orchard Street,New York, NY 10002",Not applicable," 84 Orchard Street , 10002",40.717868,-73.990167,1004080008
Sportsnet New York,"4 World Trade Center,150 Greenwich Street,New York, NY 10007",Not applicable," 150 Greenwich Street , 10007",40.7103,-74.011978,1000580001
Standard MotorProducts Building,"Standard MotorProducts Building,37-18 Northern Boulevard,LIC, Queens 11101",Level 1," 37-18 Northern Boulevard , 11101",40.751975,-73.925179,4002140040
Starr Street Studios,"207 Starr Street #3-1,Brooklyn, NY 11237",Not applicable," 207 Starr Street , 11237",40.705087,-73.923487,3031880056
Staten Island Paramount Theater,"560 Bay Street,Staten Island, NY 10304",Level 1," 560 Bay Street , 10304",40.628021,-74.076882,5005130005
Steiner Studios,"15 Washington Avenue,Brooklyn Navy Yard,New York, NY 11205,steinerstudios.com",Level 2," 15 Washington Avenue , 11205",40.700771,-73.967003,3020230001
Studio 301 NYC,"301 Ten Eyck Street,Brooklyn, NY 11206,studio301nyc.com",Not applicable," 301 Ten Eyck Street , 11206",40.711568,-73.937048,3030210085
Studios LIC,"21-07 Borden Avenue,Long Island City, NY 11101,studiosLIC.com",Not applicable," 21-07 Borden Avenue , 11101",40.740764,-73.949523,4000690001
Titan Studios,"1659 Cody Avenue,Ridgewood, NY 11385,titanstudios.nyc",Not applicable," 1659 Cody Avenue , 11385",40.694995,-73.900363,4035560027
Union Square Loft,"873 Broadway #408,New York, NY 10003",Not applicable," 873 Broadway , 10003",40.738068,-73.99037,1008470016
VaynerProductions LLC,"21-10 51st Avenue,Long Island City, NY 11101",Not applicable," 21-10 51st Avenue , 11101",40.740678,-73.949086,4000690004
Warehouse Studios,"3905 2nd Avenue, 2nd Fl,,Brooklyn, NY 11232",Not applicable," 3905 2nd Avenue , 11232",40.654929,-74.010446,3007070007
West End Studios,"320 West 66th Street,New York, NY 10023",Level 2," 320 West 66th Street , 10023",40.776155,-73.988611,1011717514
Windmill Studios,"300 Kingsland Avenue,,Brooklyn, NY 11234",Not applicable," 300 Kingsland Avenue , 11234",40.726893,-73.941545,3026580052
Zazoom Media Group,"55 Broadway,,Suite 801,New York, NY 10007,dev.zazoomvideo.com",Not applicable," 55 Broadway , 10007",40.706863,-74.013094,1000200016
